mvir,mvir_p,mvir_m,cvir,cvir_p,cvir_m,methods,z,cl,refs
10.075000000000001,2.4699999999999998,-2.4699999999999998,3.645,1.33,-1.33,LOSVD,0.0714,Abell 1767,WO10.1
8.62,6.896,-6.896,7.97,6.376,-6.376,CM,0.0714,Abell 1767,RI06.1
5.765,1.33,-1.33,3.0725,1.225,-1.225,LOSVD,0.072,Abell 1691,WO10.1
51.3275,5.465,-5.465,3.0075000000000003,0.485,-0.485,X-ray,0.072,Abell 399,BA14.1
5.28,4.224,-4.224,10.96,8.768,-8.768,CM,0.0727,RXJ1053.7+5450,RI06.1
23.455,2.8099999999999996,-2.8099999999999996,17.252499999999998,0.905,-0.905,X-ray,0.073,Abell 2462,BA14.1
54.41,6.6899999999999995,-6.6899999999999995,3.3525,0.825,-0.825,X-ray,0.073,Abell 2065,BA14.1
1.66,0.9295999999999999,-0.9295999999999999,5.0,2.8,-2.8,LOSVD,0.0733,Abell 1238,AB11.1
0.57,0.45599999999999996,-0.45599999999999996,23.22,18.576,-18.576,CM,0.0737,Abell 2067,RI06.1
3.06,2.4480000000000004,-2.4480000000000004,8.66,6.928000000000001,-6.928000000000001,CM,0.0738,Abell 2064,RI06.1
16.6825,1.405,-1.405,13.51,2.64,-2.64,X-ray,0.074,Abell 1569,BA14.1
50.095,4.4799999999999995,-4.4799999999999995,4.365,0.48,-0.48,X-ray,0.0748,Abell 401,BA14.1
22.6275,3.065,-3.065,12.25,0.96,-0.96,X-ray,0.075,Abell 3112,BA14.1
14.049999999999999,9.299999999999999,-9.299999999999999,8.967500000000001,2.9349999999999996,-2.9349999999999996,X-ray,0.075,Abell 3112,VO06.1
2.76,0.9462857142857142,-0.9462857142857142,7.0,2.4,-2.4,LOSVD,0.0754,Abell 1424,AB11.1
5.0,4.0,-4.0,7.71,6.168,-6.168,CM,0.0754,Abell 1424,RI06.1
4.1075,0.815,-0.815,3.145,1.1,-1.1,LOSVD,0.0755,Abell 1190,WO10.1
3.9,3.12,-3.12,7.91,6.328,-6.328,CM,0.0755,Abell 1190,RI06.1
3.76,1.88,-1.88,16.0,8.0,-8.0,LOSVD,0.0756,Abell 1205,AB11.1
4.91,3.9280000000000004,-3.9280000000000004,2.78,2.2239999999999998,-2.2239999999999998,CM,0.0756,Abell 1205,RI06.1
1.41,1.128,-1.128,7.68,6.144,-6.144,CM,0.076,Abell 1173,RI06.1
7.63,1.6955555555555555,-1.6955555555555555,18.0,4.0,-4.0,LOSVD,0.0761,Abell 2670,AB11.1
8.3425,0.9850000000000001,-0.9850000000000001,12.33,3.0,-3.0,LOSVD,0.0761,Abell 2670,WO10.1
19.82,1.74,-1.74,7.095,1.46,-1.46,X-ray,0.0761,Abell 2670,BA14.1
2.56,2.048,-2.048,4.45,3.5600000000000005,-3.5600000000000005,CM,0.0761,Abell 2670,RI06.1
1.04,0.8320000000000001,-0.8320000000000001,5.22,4.176,-4.176,CM,0.0764,RXCJ1210.3+0523,RI06.1
39.160000000000004,4.63,-4.63,9.187500000000002,0.5549999999999999,-0.5549999999999999,X-ray,0.0767,Abell 2029,BA14.1
9.1425,0.825,-0.825,8.555,0.44999999999999996,-0.44999999999999996,X-ray,0.0767,Abell 2029,SC07.1
64.5,47.0,-47.0,5.62,2.16,-2.16,X-ray,0.0767,Abell 2029,VO06.1
12.76,1.33,-1.33,7.8,0.38,-0.38,X-ray,0.0767,Abell 2029,VI06.1
15.0,3.0,-3.0,5.8,1.1,-1.1,X-ray,0.0767,Abell 2029,LE03.1
40.545,5.1,-5.1,7.4725,0.545,-0.545,X-ray,0.0772,ZwCl 1215.1+0400,BA14.1
2.98,2.384,-2.384,8.79,7.032,-7.032,CM,0.0772,ZwCl 1215.1+0400,RI06.1
6.475,1.24,-1.24,4.985,1.6400000000000001,-1.6400000000000001,LOSVD,0.0782,Abell 1773,WO10.1
2.98,2.384,-2.384,12.63,10.104000000000001,-10.104000000000001,CM,0.0782,Abell 1773,RI06.1
5.48,1.37,-1.37,12.0,3.0,-3.0,LOSVD,0.0783,Abell 2061,AB11.1
7.56,6.048,-6.048,8.24,6.5920000000000005,-6.5920000000000005,CM,0.0783,Abell 2061,RI06.1
3.47,1.0988333333333333,-1.0988333333333333,6.0,1.9,-1.9,LOSVD,0.079,Abell 1809,AB11.1
5.125,0.77,-0.77,7.355,2.04,-2.04,LOSVD,0.079,Abell 1809,WO10.1
2.73,2.184,-2.184,3.87,3.096,-3.096,CM,0.079,Abell 1809,RI06.1
3.48,2.7840000000000003,-2.7840000000000003,5.94,4.752000000000001,-4.752000000000001,CM,0.0801,Abell 1035B,RI06.1
10.1,6.252380952380952,-6.252380952380952,21.0,13.0,-13.0,LOSVD,0.0801,Abell 2255,AB11.1
9.77,7.816,-7.816,7.75,6.2,-6.2,CM,0.0801,Abell 2255,RI06.1
0.909,0.536,-0.536,10.6,2.7,-2.7,X-ray,0.081,RXJ1159.8+5531,GA06.1
24.375,2.86,-2.86,5.760000000000001,0.97,-0.97,X-ray,0.0825,Abell 1651,BA14.1
1.13,0.9039999999999999,-0.9039999999999999,3.97,3.176,-3.176,CM,0.0827,RXJ1326.2+0013,RI06.1
0.9,0.7200000000000001,-0.7200000000000001,4.31,3.448,-3.448,CM,0.0832,MS 1306,RI06.1
1.98,1.584,-1.584,4.08,3.2640000000000002,-3.2640000000000002,CM,0.0836,Abell 2428,RI06.1
4.15,2.7666666666666666,-2.7666666666666666,18.0,12.0,-12.0,LOSVD,0.0837,Abell 1663,AB11.1
6.24,4.992000000000001,-4.992000000000001,5.34,4.272,-4.272,CM,0.0837,Abell 1663,RI06.1
1.67,0.35424242424242425,-0.35424242424242425,33.0,7.0,-7.0,LOSVD,0.0839,Abell 1459,AB11.1
7.8325000000000005,1.545,-1.545,2.3375000000000004,0.6950000000000001,-0.6950000000000001,LOSVD,0.0843,Abell 1650,WO10.1
54.822500000000005,4.455,-4.455,2.7775,0.495,-0.495,X-ray,0.0843,Abell 1650,BA14.1
2.05,1.64,-1.64,3.09,2.472,-2.472,CM,0.0843,Abell 1650,RI06.1
12.575,1.45,-1.45,10.8375,1.6549999999999998,-1.6549999999999998,X-ray,0.0852,Abell 2597,BA14.1
3.54,0.42,-0.42,7.59,0.63,-0.63,X-ray,0.0852,Abell 2597,PO05.1
4.14,2.97,-2.97,5.21,3.42,-3.42,WL,0.0856,Abell 1750N,OK08.1
2.69,2.33,-2.33,5.52,4.89,-4.89,WL,0.0856,Abell 1750C,OK08.1
3.44,2.7520000000000002,-2.7520000000000002,3.94,3.152,-3.152,CM,0.0856,Abell 1750,RI06.1
3.12,2.4960000000000004,-2.4960000000000004,3.24,2.5920000000000005,-2.5920000000000005,CM,0.0861,Abell 1552,RI06.1
9.76,7.808,-7.808,13.94,11.152000000000001,-11.152000000000001,CM,0.0863,Abell 2249,RI06.1
8.93,7.144,-7.144,14.45,11.56,-11.56,CM,0.0868,Abell 2245,RI06.1
17.4475,5.055,-5.055,4.852499999999999,1.475,-1.475,WL,0.088,Abell 478,OK15.1
29.1325,2.9450000000000003,-2.9450000000000003,6.04,0.66,-0.66,X-ray,0.088,Abell 478,BA14.1
16.3,2.8,-2.8,5.16,0.43,-0.43,X-ray,0.088,Abell 478,SC07.1
43.0,47.677980852915574,-47.677980852915574,2.8725,3.185,-3.185,X-ray,0.088,Abell 478,VO06.1
13.1,2.3,-2.3,5.52,0.49,-0.49,X-ray,0.088,Abell 478,PO05.1
12.51,1.88,-1.88,6.92,0.49,-0.49,X-ray,0.088,Abell 478,VI06.1
13.0,1.1818181818181819,-1.1818181818181819,5.5,0.5,-0.5,X-ray,0.088,Abell 478,PO04.1
24.925,4.65,-4.65,4.782500000000001,0.41500000000000004,-0.41500000000000004,X-ray,0.088,Abell 478,AL03.1
7.42,5.936,-5.936,6.1,4.88,-4.88,CM,0.0882,Abell 1885,RI06.1
4.8,3.84,-3.84,6.0,4.800000000000001,-4.800000000000001,CM,0.0899,Abell 1728,RI06.1
9.69,2.862954545454545,-2.862954545454545,4.4,1.3,-1.3,LOSVD,0.0903,Abell 2142,AB11.1
15.997499999999999,2.545,-2.545,2.53,0.73,-0.73,LOSVD,0.0903,Abell 2142,WO10.1
15.927499999999998,2.715,-2.715,5.675,0.8500000000000001,-0.8500000000000001,WL,0.0903,Abell 2142,UM09.1
17.07,7.49,-7.49,4.32,1.7,-1.7,WL,0.0903,Abell 2142,OK08.1
35.5025,3.415,-3.415,7.015,1.07,-1.07,X-ray,0.0903,Abell 2142,BA14.1
6.13,4.904,-4.904,2.66,2.128,-2.128,CM,0.0903,Abell 2142,RI06.1
2.19,0.27,-0.27,10.56,1.81,-1.81,X-ray,0.092,Abell 2700,ET11.1
5.19,4.152,-4.152,13.4,10.72,-10.72,CM,0.0923,Abell 971,RI06.1
5.617500000000001,1.385,-1.385,4.995,1.76,-1.76,LOSVD,0.0928,Abell 954,WO10.1
1.44,1.152,-1.152,0.85,0.68,-0.68,CM,0.0928,Abell 954,RI06.1
36.155,2.37,-2.37,6.9925,0.955,-0.955,X-ray,0.093,Abell 3921,BA14.1
6.6075,1.7149999999999999,-1.7149999999999999,2.0,1.04,-1.04,LOSVD,0.0961,Abell 2175,WO10.1
2.23,1.784,-1.784,0.93,0.7440000000000001,-0.7440000000000001,CM,0.0961,Abell 2175,RI06.1
4.61,0.59,-0.59,7.18,1.76,-1.76,X-ray,0.097,Abell 3911,ET11.1
2.59,2.072,-2.072,6.11,4.888000000000001,-4.888000000000001,CM,0.0971,Abell 2110,RI06.1
5.45,3.6333333333333333,-3.6333333333333333,39.0,26.0,-26.0,LOSVD,0.0972,Abell 2048,AB11.1
8.02,0.89,-0.89,5.86,0.85,-0.85,X-ray,0.098,Abell 3827,ET11.1
97.89500000000001,5.859999999999999,-5.859999999999999,5.8125,0.9550000000000001,-0.9550000000000001,X-ray,0.098,Abell 3827,BA14.1
48.2875,4.195,-4.195,3.3299999999999996,1.12,-1.12,X-ray,0.0997,Abell 2244,BA14.1
5.38,4.304,-4.304,5.02,4.016,-4.016,CM,0.0997,Abell 2244,RI06.1
39.71,3.76,-3.76,8.569999999999999,0.88,-0.88,X-ray,0.103,PKS0745-191,BA14.1
17.475,3.46,-3.46,8.0075,1.645,-1.645,X-ray,0.103,PKS0745-191,SC07.1
53.75,38.5,-38.5,7.3575,3.835,-3.835,X-ray,0.103,PKS0745-191,VO06.1
11.9,1.5,-1.5,6.62,0.5,-0.5,X-ray,0.103,PKS0745-191,PO05.1
22.25,4.8,-4.8,5.24,0.5,-0.5,X-ray,0.103,PKS0745-191,AL03.1
14.68,1.3900000000000001,-1.3900000000000001,11.845,0.9,-0.9,X-ray,0.104,Abell 1446,BA14.1
1.05,0.18,-0.18,16.755000000000003,4.42,-4.42,X-ray,0.108,RXCJ0049.4-2931,ET11.1
9.5,7.1,-7.1,2.4,1.9,-1.9,WL,0.1114,ZwCl0740.4+1740,SE14.1
8.2075,3.9350000000000005,-3.9350000000000005,3.3449999999999998,1.7,-1.7,WL,0.1114,ZwCl0740.4+1740,OK10.1
22.82,2.81,-2.81,4.0024999999999995,0.5750000000000001,-0.5750000000000001,X-ray,0.113,Abell 2034,ET11.1
10.24,6.14,-6.14,3.74,2.25,-2.25,WL,0.113,Abell 2034,OK08.1
27.435000000000002,2.57,-2.57,3.3000000000000003,0.8200000000000001,-0.8200000000000001,X-ray,0.113,Abell 2034,BA14.1
6.03,0.54,-0.54,4.0575,0.365,-0.365,X-ray,0.115,Abell 2051,ET11.1
13.0925,1.475,-1.475,9.482500000000002,1.065,-1.065,X-ray,0.117,Abell 1361,BA14.1
3.3,0.48,-0.48,9.1275,2.035,-2.035,X-ray,0.118,Abell 2050,ET11.1
2.65,0.25,-0.25,6.1375,0.595,-0.595,X-ray,0.118,Abell 3814,ET11.1
6.12,0.46,-0.46,4.085,0.28,-0.28,X-ray,0.119,RXC J1141.4-1216,ET11.1
27.22,2.92,-2.92,9.402500000000002,1.065,-1.065,X-ray,0.128,Abell 1664,BA14.1
3.44,0.22,-0.22,5.97,0.38,-0.38,X-ray,0.132,Abell 1084,ET11.1
3.5,1.3,-1.3,14.1,5.6,-5.6,X-ray,0.137,RXJ1416.4+2315,KH06.1
8.02,0.6,-0.6,3.9175,0.275,-0.275,X-ray,0.1375,Abell 1068,ET11.1
9.7325,0.9450000000000001,-0.9450000000000001,4.0424999999999995,0.28500000000000003,-0.28500000000000003,X-ray,0.1375,Abell 1068,BA14.1
6.9,0.65,-0.65,4.77,0.33,-0.33,X-ray,0.1375,Abell 1068,PO05.1
10.92,2.02,-2.02,4.4125000000000005,0.915,-0.915,X-ray,0.138,RXC J2218.6-3853,ET11.1
5.47,0.44,-0.44,5.29,0.44,-0.44,X-ray,0.141,RXCJ0605.8-3518,ET11.1
7.84,0.9,-0.9,5.5275,0.365,-0.365,X-ray,0.141,RXCJ0605.8-3518,BA14.1
12.14,3.23,-3.23,5.7,1.6,-1.6,X-ray,0.142,Abell 22,ET11.1
7.18,0.38,-0.38,7.65,0.59,-0.59,X-ray,0.143,Abell 1413,ET11.1
10.3525,1.245,-1.245,7.8149999999999995,0.72,-0.72,X-ray,0.143,Abell 1413,BA14.1
12.025,2.84,-2.84,5.7125,0.955,-0.955,X-ray,0.143,Abell 1413,SC07.1
7.59,0.82,-0.82,7.41,0.62,-0.62,X-ray,0.143,Abell 1413,PO05.1
12.73,1.47,-1.47,5.66,0.3,-0.3,X-ray,0.143,Abell 1413,VI06.1
7.73,1.45,-1.45,4.342499999999999,1.2149999999999999,-1.2149999999999999,X-ray,0.147,Abell 2328,ET11.1
9.55,1.83,-1.83,4.7175,1.135,-1.135,X-ray,0.148,RXCJ0547.6-3152,ET11.1
13.610000000000001,1.3900000000000001,-1.3900000000000001,5.3675,0.7849999999999999,-0.7849999999999999,X-ray,0.148,RXCJ0547.6-3152,BA14.1
20.06,1.5,-1.5,3.4125,0.195,-0.195,X-ray,0.152,Abell 2204,ET11.1
8.3,3.1,-3.1,9.0,7.9,-7.9,WL,0.152,Abell 2204,CO09.1
30.7825,3.4050000000000002,-3.4050000000000002,3.6475,0.505,-0.505,X-ray,0.152,Abell 2204,BA14.1
14.75,2.5,-2.5,8.0,1.3559322033898304,-1.3559322033898304,WL,0.152,Abell 2204,CL02.1
9.205,2.63,-2.63,12.897499999999999,3.135,-3.135,X-ray,0.152,Abell 2204,SC07.1
14.0,1.7,-1.7,5.86,0.46,-0.46,X-ray,0.152,Abell 2204,PO05.1
16.16,5.0,-5.0,6.5925,2.225,-2.225,X-ray,0.153,Abell 3888,ET11.1
5.1,1.4,-1.4,7.0,2.4,-2.4,WL,0.153,Abell 2009,SE14.1
4.0625,1.065,-1.065,7.1075,2.0549999999999997,-2.0549999999999997,WL,0.153,Abell 2009,OK10.1
15.32,2.59,-2.59,3.16,0.53,-0.53,X-ray,0.1527,Abell 907,ET11.1
7.7075000000000005,0.855,-0.855,8.182500000000001,1.225,-1.225,X-ray,0.1527,Abell 907,BA14.1
7.37,0.82,-0.82,6.61,0.75,-0.75,X-ray,0.1527,Abell 907,VI06.1
8.7325,1.025,-1.025,8.3475,0.275,-0.275,X-ray,0.159,Abell 1240,BA14.1
9.18,0.64,-0.64,4.81,0.29000000000000004,-0.29000000000000004,X-ray,0.161,RXCJ2014.8-2430,ET11.1
12.9575,1.815,-1.815,4.9425,0.7949999999999999,-0.7949999999999999,X-ray,0.161,RXCJ2014.8-2430,BA14.1
5.2,1.8,-1.8,10.7,5.0,-5.0,WL,0.164,RXJ1720.1+2638,SE14.1
4.3925,1.435,-1.435,10.620000000000001,4.34,-4.34,WL,0.164,RXJ1720.1+2638,OK10.1
8.45,1.34,-1.34,5.9375,1.2850000000000001,-1.2850000000000001,X-ray,0.167,Abell 3404,ET11.1
6.3100000000000005,0.73,-0.73,8.072500000000002,1.0550000000000002,-1.0550000000000002,X-ray,0.169,Abell 1201,BA14.1
32.9,21.8,-21.8,1.4,0.5,-0.5,WL,0.171,Abell 586,SE14.1
7.9775,2.4850000000000003,-2.4850000000000003,9.13,3.02,-3.02,WL,0.171,Abell 586,OK10.1
8.77,4.56,-4.56,4.13,2.79,-2.79,WL,0.171,Abell 1914,OK08.1
114.4525,8.215,-8.215,1.47,0.48,-0.48,X-ray,0.171,Abell 1914,BA14.1
5.52,0.86,-0.86,8.8225,2.4850000000000003,-2.4850000000000003,X-ray,0.175,Abell 2218,ET11.1
15.99,3.76,-3.76,8.63,1.6,-1.6,WL,0.175,Abell 2218,BA07.1
7.5625,0.965,-0.965,8.8775,2.495,-2.495,X-ray,0.175,Abell 2218,BA14.1
51.6,25.3,-25.3,0.3,0.1,-0.1,WL,0.1765,Abell 2345,SE14.1
14.3,6.4,-6.4,3.2,1.7,-1.7,WL,0.18,Abell 750,SE14.1
19.7,2.0,-2.0,14.975000000000001,4.35,-4.35,WL,0.18,Abell 1689,UM08.1
21.0,1.7,-1.7,12.774999999999999,0.95,-0.95,WL+SL,0.18,Abell 1689,UM08.1
23.525,2.65,-2.65,11.575,1.45,-1.45,SL,0.18,Abell 1689,CO10.1
20.5,4.4,-4.4,13.32,3.48,-3.48,WL,0.18,Abell 1689,UM15.1
29.0,5.3,-5.3,10.86,1.54,-1.54,SL,0.18,Abell 1689,UM15.1
23.9,4.4,-4.4,12.83,3.08,-3.08,WL+SL,0.18,Abell 1689,UM15.1
8.36,0.5,-0.5,10.4075,0.795,-0.795,X-ray,0.18,Abell 1689,ET11.1
14.4,3.1,-3.1,19.1,11.2,-11.2,WL,0.18,Abell 1689,CO09.1
15.78,2.4299999999999997,-2.4299999999999997,21.674999999999997,4.05,-4.05,WL,0.18,Abell 1689,UM09.1
18.752499999999998,2.8049999999999997,-2.8049999999999997,13.31,2.75,-2.75,WL,0.18,Abell 1689,UM11.1
33.73,6.35,-6.35,5.45,1.01,-1.01,WL,0.18,Abell 1689,BA07.1
19.37,2.6,-2.6,10.68,1.12,-1.12,X-ray,0.18,Abell 1689,BA14.1
35.0,2.763157894736842,-2.763157894736842,7.6,0.6,-0.6,SL,0.18,Abell 1689,HA06.1
178.75,85.5,-85.5,7.029999999999999,0.52,-0.52,SL,0.18,Abell 1689,ZE06.1
40.0,1.0,-1.0,8.424999999999999,1.9500000000000002,-1.9500000000000002,SL,0.18,Abell 1689,BR05.2
18.6,6.8,-6.8,4.65,0.5,-0.5,WL,0.18,Abell 1689,BA05.1
19.3,2.0,-2.0,13.924999999999999,1.25,-1.25,WL,0.18,Abell 1689,BR05.1
10.0,8.0,-8.0,6.1,4.88,-4.88,WL,0.18,Abell 1689,KI02.1
26.0,1.3903743315508021,-1.3903743315508021,9.35,0.5,-0.5,WL+SL,0.18,Abell 1689,HA06.1
15.1,2.0,-2.0,9.5,2.0,-2.0,WL+SL,0.18,Abell 1689,LI07.1
7.745,1.32,-1.32,8.785,0.66,-0.66,WL+SL,0.188,Abell 383,ZI11.1
5.42,0.45,-0.45,3.9749999999999996,0.29000000000000004,-0.29000000000000004,X-ray,0.188,Abell 383,ET11.1
4.7,1.3,-1.3,9.6,4.5,-4.5,WL,0.188,Abell 383,SE14.1
9.1,2.5,-2.5,8.8,1.5,-1.5,WL+SL,0.188,Abell 383,SE14.1
7.53,2.85,-2.85,3.38,0.86,-0.86,WL,0.188,Abell 383,BA07.1
7.765,2.0,-2.0,4.585000000000001,0.54,-0.54,X-ray,0.188,Abell 383,BA14.1
10.4,0.7,-0.7,5.6,1.3,-1.3,WL+SL,0.188,Abell 383,ME14.1
9.15,2.48,-2.48,4.6375,0.745,-0.745,X-ray,0.188,Abell 383,SC07.1
4.72,0.57,-0.57,8.03,0.7,-0.7,X-ray,0.188,Abell 383,VI06.1
3.8375,1.005,-1.005,10.497499999999999,4.135,-4.135,WL,0.188,Abell 383,OK10.1
