mvir,mvir_p,mvir_m,cvir,cvir_p,cvir_m,methods,z,cl,refs
3.3,1.1,-1.1,10.2,5.4,-5.4,WL,0.194,ZwCl0839.9+2937,SE14.1
3.1050000000000004,0.95,-0.95,8.98,3.88,-3.88,WL,0.194,ZwCl0839.9+2937,OK10.1
7.0,0.08641975308641976,-0.08641975308641976,8.1,0.1,-0.1,X-ray,0.194,ZwCl0839.9+2937,WA05.1
10.1,3.7,-3.7,2.4,1.1,-1.1,WL,0.196,Abell 291,SE14.1
7.8,2.58,-2.58,2.66,1.1400000000000001,-1.1400000000000001,WL,0.196,Abell 291,OK10.1
8.0,5.9,-5.9,3.5,3.3,-3.3,WL,0.1971,Abell 115,SE14.1
6.5825000000000005,3.265,-3.265,5.9325,3.535,-3.535,WL,0.1971,Abell 115,OK10.1
8.77,3.4,-3.4,2.9,1.82,-1.82,WL,0.199,Abell 520,OK08.1
154.0,123.2,-123.2,4.8,3.84,-3.84,X-ray,0.199,Abell 520,MO99.1
36.182500000000005,7.535,-7.535,2.915,0.6599999999999999,-0.6599999999999999,WL,0.203,Abell 2163,OK11.1
144.49,8.73,-8.73,2.7375000000000003,0.46499999999999997,-0.46499999999999997,X-ray,0.203,Abell 2163,BA14.1
11.0,4.3,-4.3,5.825,3.05,-3.05,WL,0.206,Abell 209,PA07.1
10.59,1.51,-1.51,3.7800000000000002,0.9199999999999999,-0.9199999999999999,X-ray,0.206,Abell 209,ET11.1
18.5,4.0,-4.0,2.7,0.6,-0.6,WL,0.206,Abell 209,SE14.1
28.5,4.9,-4.9,3.8,0.4,-0.4,WL+SL,0.206,Abell 209,SE14.1
12.66,3.99,-3.99,3.83,1.13,-1.13,WL,0.206,Abell 209,BA07.1
15.22,2.77,-2.77,4.1375,0.935,-0.935,X-ray,0.206,Abell 209,BA14.1
11.7,0.7,-0.7,4.3,1.1,-1.1,WL+SL,0.206,Abell 209,ME14.1
14.5325,2.955,-2.955,2.7775,0.645,-0.645,WL,0.206,Abell 209,OK10.1
7.34,0.99,-0.99,5.6625000000000005,1.075,-1.075,X-ray,0.206,Abell 963,ET11.1
9.6,2.5,-2.5,2.6,0.9,-0.9,WL,0.206,Abell 963,SE14.1
6.41,1.52,-1.52,10.37,1.52,-1.52,WL,0.206,Abell 963,BA07.1
10.1925,1.295,-1.295,5.6125,1.2850000000000001,-1.2850000000000001,X-ray,0.206,Abell 963,BA14.1
7.395,1.88,-1.88,2.7275,0.895,-0.895,WL,0.206,Abell 963,OK10.1
10.0325,3.025,-3.025,5.5225,1.0750000000000002,-1.0750000000000002,X-ray,0.206,Abell 963,SC07.1
8.83,1.9700000000000002,-1.9700000000000002,6.89,1.13,-1.13,X-ray,0.206,Abell 963,AL03.1
10.007499999999999,2.3049999999999997,-2.3049999999999997,9.26,1.9200000000000002,-1.9200000000000002,X-ray,0.208,RXJ0439.0+0520,BA14.1
5.0875,1.765,-1.765,8.592500000000001,1.675,-1.675,X-ray,0.208,RX J0439.0+0520,SC07.1
28.6475,12.135,-12.135,4.705,1.31,-1.31,X-ray,0.215,RX J1504.1-0248,SC07.1
25.0,20.0,-20.0,8.51,6.808,-6.808,X-ray,0.216,MS 0735.6+7421,MO99.1
13.34,3.8,-3.8,4.57,1.6099999999999999,-1.6099999999999999,X-ray,0.217,Abell 773,ET11.1
17.785,1.85,-1.85,4.382499999999999,0.7350000000000001,-0.7350000000000001,X-ray,0.217,Abell 773,BA14.1
36.0,28.8,-28.8,5.26,4.208,-4.208,X-ray,0.221,MS 1006.0+1202,MO99.1
21.1,1.6,-1.6,5.2,0.7,-0.7,WL,0.224,Abell 2261,SE14.1
23.2,3.0,-3.0,6.0,0.6,-0.6,WL+SL,0.224,Abell 2261,SE14.1
19.717499999999998,3.425,-3.425,6.775,1.65,-1.65,WL,0.224,Abell 2261,UM09.1
17.6,1.8,-1.8,4.4,1.8,-1.8,WL+SL,0.224,Abell 2261,ME14.1
9.73,1.8499999999999999,-1.8499999999999999,6.34,1.51,-1.51,WL,0.224,Abell 2261,OK10.1
9.8,3.1,-3.1,3.3,1.5,-1.5,WL,0.2248,ZwCl 0823.2+0425,SE14.1
4.83,0.84,-0.84,8.2525,3.535,-3.535,X-ray,0.228,Abell 1763,ET11.1
24.62,5.31,-5.31,3.36,0.77,-0.77,WL,0.228,Abell 1763,BA07.1
13.4,3.5,-3.5,8.2,3.5,-3.5,WL,0.2281,Abell 2219,SE14.1
35.83,8.29,-8.29,4.84,1.21,-1.21,WL,0.2281,Abell 2219,BA07.1
46.1525,5.095000000000001,-5.095000000000001,4.42,0.94,-0.94,X-ray,0.2281,Abell 2219,BA14.1
9.469999999999999,2.3,-2.3,7.824999999999999,2.79,-2.79,WL,0.2281,Abell 2219,OK10.1
5.0,1.3,-1.3,6.4,2.2,-2.2,WL,0.23,Abell 267,SE14.1
4.59,2.64,-2.64,5.69,2.45,-2.45,WL,0.23,Abell 267,BA07.1
4.0,0.98,-0.98,6.3975,1.845,-1.845,WL,0.23,Abell 267,OK10.1
31.57,1.48,-1.48,2.725,0.1,-0.1,X-ray,0.23,Abell 2390,ET11.1
11.3,2.7,-2.7,6.6,1.6,-1.6,WL,0.23,Abell 2390,SE14.1
12.965,2.0700000000000003,-2.0700000000000003,7.5,1.9,-1.9,WL,0.23,Abell 2390,UM09.1
15.7,4.43,-4.43,6.56,1.74,-1.74,WL,0.23,Abell 2390,BA07.1
37.305,3.59,-3.59,2.6624999999999996,0.7450000000000001,-0.7450000000000001,X-ray,0.23,Abell 2390,BA14.1
8.424999999999999,1.7799999999999998,-1.7799999999999998,6.3875,1.405,-1.405,WL,0.23,Abell 2390,OK10.1
20.45,2.57,-2.57,3.28,0.23,-0.23,X-ray,0.23,Abell 2390,VI06.1
73.875,47.050000000000004,-47.050000000000004,4.2275,2.055,-2.055,X-ray,0.23,Abell 2390,AL03.1
20.08,0.57,-0.57,2.9225000000000003,0.065,-0.065,X-ray,0.233,Abell 2667,ET11.1
26.61,2.49,-2.49,2.955,0.21000000000000002,-0.21000000000000002,X-ray,0.233,Abell 2667,BA14.1
22.575000000000003,9.85,-9.85,3.715,0.97,-0.97,X-ray,0.233,Abell 2667,AL03.1
6.48,0.53,-0.53,4.565,0.41000000000000003,-0.41000000000000003,X-ray,0.235,RXJ2129.6+0005,ET11.1
12.4,5.5,-5.5,2.6,1.5,-1.5,WL,0.235,RXJ2129.6+0005,SE14.1
7.0,1.3,-1.3,8.3,1.1,-1.1,WL+SL,0.235,RXJ2129.6+0005,SE14.1
10.1175,1.2349999999999999,-1.2349999999999999,4.8725000000000005,0.45499999999999996,-0.45499999999999996,X-ray,0.235,RXJ2129.6+0005,BA14.1
7.3,0.7,-0.7,5.6,1.7,-1.7,WL+SL,0.235,RXJ2129.6+0005,ME14.1
7.2875,2.3449999999999998,-2.3449999999999998,3.9349999999999996,1.75,-1.75,WL,0.235,RXJ2129.6+0005,OK10.1
16.9825,10.065000000000001,-10.065000000000001,5.382499999999999,2.605,-2.605,X-ray,0.235,RXJ2129.6+0005,SC07.1
2.77,0.21,-0.21,7.9,0.5,-0.5,X-ray,0.241,ZwCl 1305.4+2941,GA08.1
10.0,8.0,-8.0,5.78,4.6240000000000006,-4.6240000000000006,X-ray,0.246,MS 1910.5+6736,MO99.1
6.0,2.4,-2.4,3.9,2.2,-2.2,WL,0.2472,Abell 2485,SE14.1
4.904999999999999,1.6099999999999999,-1.6099999999999999,4.12,1.84,-1.84,WL,0.2472,Abell 2485,OK10.1
9.1,2.5,-2.5,2.1,0.5,-0.5,WL,0.2475,Abell 521,SE14.1
8.0625,1.275,-1.275,14.015,1.0,-1.0,X-ray,0.2475,Abell 521,BA14.1
6.0225,1.335,-1.335,3.225,0.9,-0.9,WL,0.2475,Abell 521,OK10.1
21.66,1.74,-1.74,3.58,0.27,-0.27,X-ray,0.2528,Abell 1835,ET11.1
12.4,4.8,-4.8,12.5,11.600000000000001,-11.600000000000001,WL,0.2528,Abell 1835,CO09.1
18.5,4.6,-4.6,3.4,1.0,-1.0,WL,0.2528,Abell 1835,SE14.1
47.89,8.25,-8.25,3.27,0.59,-0.59,WL,0.2528,Abell 1835,BA07.1
28.41,3.74,-3.74,3.3400000000000003,0.51,-0.51,X-ray,0.2528,Abell 1835,BA14.1
14.282499999999999,3.255,-3.255,3.5,0.89,-0.89,WL,0.2528,Abell 1835,OK10.1
29.025000000000002,4.05,-4.05,3.72,0.5190697674418604,-0.5190697674418604,WL,0.252,Abell 1835,CL02.1
24.9775,5.995,-5.995,4.415,0.46,-0.46,X-ray,0.252,Abell 1835,SC07.1
116.0,78.0,-78.0,3.855,1.71,-1.71,X-ray,0.252,Abell 1835,VO06.1
26.349999999999998,7.0,-7.0,5.165,0.69,-0.69,X-ray,0.252,Abell 1835,AL03.1
12.67,2.9,-2.9,4.0675,1.045,-1.045,X-ray,0.253,RXCJ0307.0-2840,ET11.1
15.4025,2.175,-2.175,4.225,1.06,-1.06,X-ray,0.253,RXCJ0307.0-2840,BA14.1
2.3,0.8,-0.8,9.7,5.7,-5.7,WL,0.2545,ZwCl0104.4+0048,SE14.1
1.8125,0.5249999999999999,-0.5249999999999999,11.657499999999999,5.8149999999999995,-5.8149999999999995,WL,0.2545,ZwCl0104.4+0048,OK10.1
19.7,2.43,-2.43,4.07,0.56,-0.56,X-ray,0.2546,Abell 68,ET11.1
5.1,2.3,-2.3,6.1,4.6,-4.6,WL,0.2546,Abell 68,SE14.1
10.56,3.62,-3.62,4.8,1.37,-1.37,WL,0.2546,Abell 68,BA07.1
6.0525,2.185,-2.185,5.174999999999999,2.59,-2.59,WL,0.2546,Abell 68,OK10.1
4.4,2.7,-2.7,4.5,3.4,-3.4,WL,0.2578,ZwCl1454.8+2233,SE14.1
3.9450000000000003,1.69,-1.69,5.119999999999999,2.7,-2.7,WL,0.2578,ZwCl1454.8+2233,OK10.1
4.19,0.33,-0.33,7.805,0.64,-0.64,X-ray,0.259,MS 1455.0+2232,ET11.1
15.0,12.0,-12.0,13.2,10.56,-10.56,X-ray,0.259,MS 1455.0+2232,MO99.1
0.94,0.77,-0.77,11.79,5.84,-5.84,WL,0.26,J0454-0309,SC10.1
7.91,2.22,-2.22,7.4075,3.525,-3.525,X-ray,0.273,RXCJ2337.6+0016,ET11.1
7.3,1.4,-1.4,8.1,3.0,-3.0,WL,0.273,RXCJ2337.6+0016,SE14.1
10.092500000000001,1.115,-1.115,6.097499999999999,2.085,-2.085,X-ray,0.273,RXCJ2337.6+0016,BA14.1
16.88,2.98,-2.98,3.275,0.7200000000000001,-0.7200000000000001,X-ray,0.274,RXCJ0303.8-7752,ET11.1
7.88,2.1,-2.1,7.9025,2.615,-2.615,X-ray,0.275,RXCJ0532.9-3701,ET11.1
25.0,6.4,-6.4,5.1,0.7,-0.7,SL,0.277,Abell 1703,OG09.1
20.625,5.75,-5.75,3.5249999999999995,1.25,-1.25,WL,0.277,Abell 1703,OG09.1
15.375,3.75,-3.75,6.875,0.95,-0.95,WL+SL,0.277,Abell 1703,OG09.1
17.4,2.1,-2.1,7.15,0.5,-0.5,WL+SL,0.277,Abell 1703,ZI10.1
17.075,3.55,-3.55,8.13,1.94,-1.94,WL,0.277,Abell 1703,ZI10.1
15.7,2.5,-2.5,6.9,1.0,-1.0,WL+SL,0.277,Abell 1703,SE14.1
18.035,3.2,-3.2,7.515,2.03,-2.03,WL,0.277,Abell 1703,UM11.1
13.21,2.3899999999999997,-2.3899999999999997,4.9475,1.135,-1.135,WL,0.277,Abell 1703,OG12.1
11.1775,1.775,-1.775,7.305,0.99,-0.99,WL+SL,0.277,Abell 1703,OG12.1
5.3675,1.065,-1.065,8.785,2.91,-2.91,WL,0.278,Abell 2631,OK10.1
7.51,8.14,-8.14,0.24,0.95,-0.95,WL,0.279,Abell 1758N,OK08.1
1.71,1.64,-1.64,3.91,6.51,-6.51,WL,0.279,Abell 1758S,OK08.1
2.1,1.5,-1.5,1.9,2.0,-2.0,WL,0.2793,Abell 689,SE14.1
6.9,1.7,-1.7,6.6,1.9,-1.9,WL,0.2803,RXJ0142.0+2131,SE14.1
4.655,1.12,-1.12,7.735,2.3,-2.3,WL,0.2803,RXJ0142.0+2131,OK10.1
3.89,0.35,-0.35,6.7,0.4,-0.4,X-ray,0.281,XMMU J131359.7-162735,GA07.1
16.2,3.4,-3.4,3.1,0.9,-0.9,WL,0.282,Abell 697,SE14.1
15.879999999999999,1.4,-1.4,6.8725,1.455,-1.455,X-ray,0.282,Abell 697,BA14.1
12.7125,2.4450000000000003,-2.4450000000000003,3.0900000000000003,0.77,-0.77,WL,0.282,Abell 697,OK10.1
18.26,2.43,-2.43,2.8825,0.445,-0.445,X-ray,0.283,RXCJ0232.2-4420,ET11.1
23.97,2.58,-2.58,2.4450000000000003,0.86,-0.86,X-ray,0.283,RXCJ0232.2-4420,BA14.1
8.8,2.3,-2.3,4.6,1.7,-1.7,WL,0.288,Abell 611,SE14.1
17.1,4.4,-4.4,5.6,1.0,-1.0,WL+SL,0.288,Abell 611,SE14.1
10.3,0.7,-0.7,4.3,1.1,-1.1,WL+SL,0.288,Abell 611,ME14.1
6.897500000000001,1.585,-1.585,4.635000000000001,1.5,-1.5,WL,0.288,Abell 611,OK10.1
10.2675,4.155,-4.155,6.33,2.0,-2.0,X-ray,0.288,Abell 611,SC07.1
23.0,13.0,-13.0,5.7524999999999995,2.755,-2.755,X-ray,0.288,Abell 611,AL03.1
4.1,1.3,-1.3,10.1,4.7,-4.7,WL,0.2897,ZwCl1459.4+4240,SE14.1
4.625,1.35,-1.35,7.42,2.76,-2.76,WL,0.2897,ZwCl1459.4+4240,OK10.1
9.32,0.59,-0.59,4.0925,0.255,-0.255,X-ray,0.291,Zwicky 3146,ET11.1
34.5,34.898666666666664,-34.898666666666664,2.8125,2.8449999999999998,-2.8449999999999998,X-ray,0.291,Zwicky 3146,SC07.1
5.28,1.39,-1.39,10.91,5.21,-5.21,X-ray,0.292,RXCJ0043.4-2037,ET11.1
7.205,0.94,-0.94,10.7025,4.275,-4.275,X-ray,0.292,RXCJ0043.4-2037,BA14.1
12.89,3.56,-3.56,4.9875,2.245,-2.245,X-ray,0.294,RXCJ0516.7-5430,ET11.1
17.78,1.73,-1.73,3.88,1.48,-1.48,X-ray,0.294,RXCJ0516.7-5430,BA14.1
18.86,2.55,-2.55,6.1,0.3,-0.3,X-ray,0.295,Abell 2537,BA14.1
11.47,5.46,-5.46,6.5825,2.3449999999999998,-2.3449999999999998,X-ray,0.295,Abell 2537,SC07.1
39.0,31.200000000000003,-31.200000000000003,5.4,4.32,-4.32,X-ray,0.301,MS 1008.1-1224,MO99.1
13.91,3.07,-3.07,3.415,1.2,-1.2,X-ray,0.307,RXCJ1131.9-1955,ET11.1
18.975,1.9300000000000002,-1.9300000000000002,2.835,1.85,-1.85,X-ray,0.307,RXCJ1131.9-1955,BA14.1
28.709999999999997,2.86,-2.86,2.1975000000000002,0.20500000000000002,-0.20500000000000002,X-ray,0.308,Abell 2744,BA14.1
4.3,0.7,-0.7,14.8,3.8,-3.8,WL+SL,0.308,GHO132029+3155,SE14.1
3.4825000000000004,0.615,-0.615,9.56,2.85,-2.85,WL,0.308,GHO132029+3155,OG12.1
2.9650000000000003,0.51,-0.51,16.9675,3.655,-3.655,WL+SL,0.308,GHO132029+3155,OG12.1
4.79,0.6699999999999999,-0.6699999999999999,11.852500000000001,1.3050000000000002,-1.3050000000000002,SL,0.313,MS 2137.3-2353,DO09.1
4.93,0.28,-0.28,10.31,0.98,-0.98,X-ray,0.313,MS 2137.3-2353,DO09.1
11.7,2.9,-2.9,6.4,1.1,-1.1,WL+SL,0.313,MS 2137.3-2353,SE14.1
12.6,0.6,-0.6,4.0,0.7,-0.7,WL+SL,0.313,MS 2137.3-2353,ME14.1
3.2,0.4,-0.4,16.0,1.0,-1.0,SL,0.313,MS 2137.3-2353,CO07.1
8.364999999999998,0.6599999999999999,-0.6599999999999999,14.3625,0.895,-0.895,SL,0.313,MS 2137.3-2353,GA05.2
8.6,3.9228070175438594,-3.9228070175438594,14.25,6.5,-6.5,SL,0.313,MS 2137.3-2353,GA03.1
7.93,2.17,-2.17,14.1,2.5,-2.5,SL,0.313,MS 2137.3-2353,GA02.2
78.25,54.5,-54.5,17.0,12.0,-12.0,WL,0.313,MS 2137.3-2353,GA03.1
8.5075,0.505,-0.505,14.11,0.65,-0.65,WL+SL,0.313,MS 2137.3-2353,GA05.2
5.4875,0.7949999999999999,-0.7949999999999999,8.735,0.7,-0.7,X-ray,0.313,MS 2137.3-2353,SC07.1
34.15,22.3,-22.3,6.327500000000001,2.9450000000000003,-2.9450000000000003,X-ray,0.313,MS 2137.3-2353,VO06.1
4.6899999999999995,0.98,-0.98,10.8,1.3,-1.3,X-ray,0.313,MS 2137.3-2353,AL03.1
12.0,9.600000000000001,-9.600000000000001,14.9,11.920000000000002,-11.920000000000002,X-ray,0.313,MS 2137.3-2353,MO99.1
30.805,2.3600000000000003,-2.3600000000000003,10.0725,1.7650000000000001,-1.7650000000000001,X-ray,0.314,MACSJ0242.6-2132,BA14.1
5.7775,1.7149999999999999,-1.7149999999999999,8.397499999999999,1.275,-1.275,X-ray,0.314,MACSJ0242.6-2132,SC07.1
28.2425,2.5949999999999998,-2.5949999999999998,10.3625,2.3049999999999997,-2.3049999999999997,X-ray,0.318,MACSJ1427.6-2521,BA14.1
56.76,5.06,-5.06,4.035,0.44999999999999996,-0.44999999999999996,X-ray,0.318,Abell 1995,BA14.1
36.0,28.8,-28.8,5.91,4.728000000000001,-4.728000000000001,X-ray,0.32,MS 0353.6-3642,MO99.1
51.46,5.66,-5.66,10.745000000000001,1.8599999999999999,-1.8599999999999999,X-ray,0.324,MACSJ2229.8-2756,BA14.1
3.9825,1.765,-1.765,10.2225,3.7249999999999996,-3.7249999999999996,X-ray,0.324,MACSJ2229.8-2756,SC07.1
10.0,8.0,-8.0,13.5,10.8,-10.8,X-ray,0.327,MS 1224.7+2007,MO99.1
29.0,23.200000000000003,-23.200000000000003,7.09,5.672000000000001,-5.672000000000001,X-ray,0.328,MS 1358.4+6245,MO99.1
5.2,1.1,-1.1,5.2,0.5,-0.5,SL,0.33,CL 2244-0221,CO07.1
31.195,4.16,-4.16,1.705,0.46,-0.46,X-ray,0.335,RCSJ2156+0123,BA14.1
31.6,34.3,-34.3,12.225000000000001,6.85,-6.85,SL,0.335,SDSSJ1531+3414,OG09.1
6.875,3.25,-3.25,27.325000000000003,17.95,-17.95,WL,0.335,SDSSJ1531+3414,OG09.1
6.975,2.65,-2.65,9.025,2.25,-2.25,WL+SL,0.335,SDSSJ1531+3414,OG09.1
7.2,1.9,-1.9,8.2,1.4,-1.4,WL+SL,0.335,SDSSJ1531+3414,SE14.1
6.0425,1.635,-1.635,6.86,2.67,-2.67,WL,0.335,SDSSJ1531+3414,OG12.1
5.235,1.26,-1.26,8.627500000000001,1.365,-1.365,WL+SL,0.335,SDSSJ1531+3414,OG12.1
8.2,2.8,-2.8,5.4,1.2,-1.2,WL+SL,0.342,SDSSJ1621+0607,SE14.1
7.0775,2.275,-2.275,4.3149999999999995,1.64,-1.64,WL,0.342,SDSSJ1621+0607,OG12.1
6.175,1.8599999999999999,-1.8599999999999999,5.859999999999999,1.24,-1.24,WL+SL,0.342,SDSSJ1621+0607,OG12.1
16.1475,7.375,-7.375,6.8475,1.995,-1.995,X-ray,0.345,MACSJ0947.2+7623,SC07.1
43.25,10.100000000000001,-10.100000000000001,3.7499999999999996,1.6,-1.6,WL,0.348,RXCJ2248.7-4431,GR13.1
14.1,5.1,-5.1,8.6,3.1,-3.1,WL+SL,0.348,RXCJ2248.7-4431,SE14.1
14.0,1.2,-1.2,4.0,1.1,-1.1,WL+SL,0.348,RXCJ2248.7-4431,ME14.1
17.5,4.8,-4.8,5.0,1.9,-1.9,WL+SL,0.352,MACSJ1115.8+0129,SE14.1
30.3425,4.585,-4.585,2.795,0.6799999999999999,-0.6799999999999999,X-ray,0.352,MACSJ1115.8+0129,BA14.1
11.3,1.0,-1.0,2.9,0.9,-0.9,WL+SL,0.352,MACSJ1115.8+0129,ME14.1
14.0,9.3,-9.3,7.1,3.9,-3.9,WL+SL,0.352,MACSJ1931.8-2635,SE14.1
38.3425,4.765,-4.765,5.2025,0.375,-0.375,X-ray,0.352,MACSJ1931.8-2635,BA14.1
8.3,0.6,-0.6,3.9,1.1,-1.1,WL+SL,0.352,MACSJ1931.8-2635,ME14.1
